game,combination,draw_date,jackpot_php,winners
4D Lotto,0-9-5-5,1/4/2016,33688.00,20
4D Lotto,1-8-7-4,1/6/2016,22178.00,44
4D Lotto,6-5-3-4,1/8/2016,69631.00,14
4D Lotto,0-6-4-4,1/11/2016,46691.00,17
4D Lotto,8-5-9-8,1/13/2016,52959.00,18
4D Lotto,7-2-6-7,1/15/2016,40252.00,21
4D Lotto,1-2-1-7,1/18/2016,10000.00,158
4D Lotto,0-9-2-7,1/20/2016,10000.00,77
4D Lotto,2-3-7-3,1/22/2016,28078.00,34
4D Lotto,5-3-5-6,1/25/2016,71895.00,11
4D Lotto,1-2-1-7,1/27/2016,10000.00,124
4D Lotto,1-4-9-7,1/29/2016,32635.00,31
4D Lotto,1-3-9-2,2/1/2016,84783.00,12
4D Lotto,5-2-7-5,2/3/2016,77085.00,11
4D Lotto,2-8-0-3,2/5/2016,37921.00,25
4D Lotto,7-9-1-6,2/8/2016,17682.00,19
4D Lotto,8-5-5-2,2/10/2016,31536.00,23
4D Lotto,5-2-4-3,2/12/2016,44433.00,18
4D Lotto,5-7-7-8,2/15/2016,66832.00,13
4D Lotto,5-9-4-0,2/17/2016,32898.00,26
4D Lotto,6-4-3-9,2/19/2016,31736.00,30
4D Lotto,2-5-6-9,2/22/2016,30937.00,29
4D Lotto,6-3-9-7,2/24/2016,42314.00,24
4D Lotto,9-5-4-8,2/26/2016,23882.00,35
4D Lotto,1-0-0-9,2/29/2016,10000.00,99
4D Lotto,3-6-5-3,3/2/2016,67415.00,13
4D Lotto,9-7-4-6,3/4/2016,105380.00,8
4D Lotto,6-4-0-2,3/7/2016,32346.00,24
4D Lotto,9-0-5-9,3/9/2016,34412.00,23
4D Lotto,2-5-9-1,3/11/2016,23159.00,41
4D Lotto,4-4-3-3,3/14/2016,26040.00,32
4D Lotto,4-5-6-1,3/16/2016,33636.00,25
4D Lotto,7-3-6-0,3/18/2016,52647.00,16
4D Lotto,0-5-6-6,3/21/2016,53157.00,16
4D Lotto,5-1-0-1,3/23/2016,46305.00,17
4D Lotto,8-0-8-9,3/28/2016,28671.00,28
4D Lotto,6-9-8-1,3/30/2016,35191.00,25
4D Lotto,4-3-2-2,4/1/2016,23483.00,24
4D Lotto,3-6-5-9,4/4/2016,83731.00,9
4D Lotto,8-9-0-8,4/6/2016,31772.00,22
4D Lotto,7-6-7-4,4/8/2016,95886.00,9
4D Lotto,2-0-3-6,4/11/2016,36699.00,22
4D Lotto,4-2-0-1,4/13/2016,39499.00,20
4D Lotto,5-0-5-1,4/15/2016,31509.00,25
4D Lotto,6-0-1-3,4/18/2016,18320.00,24
4D Lotto,9-5-4-2,4/20/2016,67722.00,11
4D Lotto,3-5-2-8,4/22/2016,10000.00,34
4D Lotto,1-1-9-4,4/25/2016,31129.00,28
4D Lotto,9-1-8-7,4/27/2016,42368.00,19
4D Lotto,1-7-1-0,4/29/2016,10000.00,67
4D Lotto,6-3-3-7,5/2/2016,275371.00,3
4D Lotto,9-1-9-0,5/4/2016,51133.00,18
4D Lotto,3-1-2-0,5/6/2016,11870.00,47
4D Lotto,3-9-8-7,5/9/2016,70174.00,9
4D Lotto,8-0-4-7,5/11/2016,86742.00,9
4D Lotto,8-5-2-7,5/13/2016,13048.00,39
4D Lotto,8-9-1-2,5/16/2016,24931.00,24
4D Lotto,0-3-9-2,5/18/2016,125143.00,7
4D Lotto,4-1-7-1,5/20/2016,37895.00,21
4D Lotto,8-9-6-6,5/23/2016,26216.00,31
4D Lotto,3-6-5-4,5/25/2016,45131.00,17
4D Lotto,4-6-6-3,5/27/2016,58487.00,14
4D Lotto,9-3-0-7,5/30/2016,41963.00,18
4D Lotto,1-5-2-2,6/1/2016,10000.00,106
4D Lotto,3-9-9-3,6/3/2016,124366.00,8
4D Lotto,9-1-1-1,6/6/2016,12325.00,20
4D Lotto,1-6-7-2,6/8/2016,29698.00,29
4D Lotto,7-0-7-3,6/10/2016,100966.00,9
4D Lotto,1-0-4-7,6/13/2016,10000.00,112
4D Lotto,8-7-9-2,6/15/2016,71347.00,13
4D Lotto,5-9-0-8,6/17/2016,47145.00,16
4D Lotto,6-6-1-0,6/20/2016,12245.00,27
4D Lotto,7-5-4-5,6/22/2016,20926.00,37
4D Lotto,7-7-4-0,6/24/2016,37559.00,23
4D Lotto,3-5-5-9,6/27/2016,38559.00,19
4D Lotto,9-1-7-1,6/29/2016,38199.00,19
4D Lotto,3-7-7-5,7/1/2016,45212.00,18
4D Lotto,0-7-5-3,7/4/2016,33094.00,26
4D Lotto,0-7-0-1,7/6/2016,16620.00,51
4D Lotto,0-6-5-7,7/8/2016,51381.00,15
4D Lotto,1-9-5-5,7/11/2016,10000.00,123
4D Lotto,0-5-5-6,7/13/2016,37713.00,20
4D Lotto,8-1-8-7,7/15/2016,12087.00,78
4D Lotto,6-6-6-0,7/18/2016,18462.00,41
4D Lotto,5-8-8-2,7/20/2016,67815.00,13
4D Lotto,3-0-5-0,7/22/2016,23655.00,18
4D Lotto,9-1-7-5,7/25/2016,26486.00,31
4D Lotto,3-2-7-9,7/27/2016,35738.00,22
4D Lotto,8-0-0-7,7/29/2016,52834.00,12
4D Lotto,3-5-0-1,8/1/2016,34492.00,23
4D Lotto,5-1-4-5,8/3/2016,24384.00,32
4D Lotto,7-7-2-6,8/5/2016,24930.00,22
4D Lotto,8-9-3-3,8/8/2016,26719.00,30
4D Lotto,7-4-4-1,8/10/2016,29815.00,27
4D Lotto,4-8-3-8,8/12/2016,93465.00,8
4D Lotto,8-4-5-0,8/15/2016,34265.00,22
4D Lotto,6-7-1-0,8/17/2016,23241.00,14
4D Lotto,7-5-0-5,8/19/2016,38188.00,21
4D Lotto,9-4-7-8,8/22/2016,67523.00,13
4D Lotto,0-6-1-1,8/24/2016,14275.00,39
4D Lotto,4-5-1-5,8/26/2016,24665.00,22
4D Lotto,3-5-7-7,8/29/2016,88992.00,8
4D Lotto,9-3-5-4,8/31/2016,60377.00,14
4D Lotto,8-5-2-0,9/2/2016,58620.00,10
4D Lotto,0-6-1-6,9/5/2016,10456.00,50
4D Lotto,1-9-7-9,9/7/2016,10000.00,150
4D Lotto,7-8-2-1,9/9/2016,26504.00,23
4D Lotto,4-6-0-2,9/12/2016,18518.00,43
4D Lotto,9-7-5-6,9/14/2016,34910.00,24
4D Lotto,7-2-3-8,9/16/2016,42867.00,21
4D Lotto,6-0-9-2,9/19/2016,53359.00,17
4D Lotto,2-1-3-7,9/21/2016,19365.00,48
4D Lotto,1-9-7-2,9/23/2016,10000.00,233
4D Lotto,9-6-9-4,9/26/2016,104998.00,10
4D Lotto,3-1-2-6,9/28/2016,20118.00,26
4D Lotto,5-7-2-7,9/30/2016,20676.00,29
4D Lotto,2-4-7-9,10/3/2016,32540.00,30
